Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Link do Item;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento
160224 - Pregão | 00009/2023;3;3573 - MANUTENÇÃO DE VEÍCULOS PESADOS;Recuperação completa do radiador da viatura M992.;28/03/2024;27/03/2025; 160224 - PQ R MNT/5;20.0;07.758.095/0001-56 - GTF COMERCIO DE PECAS E SERVICOS LTDA;5114.72; 20.00000;https://contratos.sistema.gov.br/transparencia/compras/508243/itens/5010080/show;Pregão;9;2023;160224;Contratação de serviços de manutenção corretiva para viaturas blindadas e equipamentos de linha de produção de oficinas de manutenção Classe IX do Pq R Mnt/5.;UNIDADE
160224 - Pregão | 00009/2023;5;2372 - MANUTENÇÃO DE PONTES E PÓRTICOS ROLANTES;Serviço de manutenção de ponte rolante de 30 toneladas.;28/03/2024;27/03/2025; 160224 - PQ R MNT/5;2.0;07.758.095/0001-56 - GTF COMERCIO DE PECAS E SERVICOS LTDA;64595.58; 1.00000;https://contratos.sistema.gov.br/transparencia/compras/508243/itens/5010081/show;Pregão;9;2023;160224;Contratação de serviços de manutenção corretiva para viaturas blindadas e equipamentos de linha de produção de oficinas de manutenção Classe IX do Pq R Mnt/5.;UNIDADE
160224 - Pregão | 00009/2023;7;3573 - MANUTENÇÃO DE VEÍCULOS PESADOS;Recuperação completa do radiador da viatura M577 A2.;28/03/2024;27/03/2025; 160224 - PQ R MNT/5;20.0;07.758.095/0001-56 - GTF COMERCIO DE PECAS E SERVICOS LTDA;4954.4; 20.00000;https://contratos.sistema.gov.br/transparencia/compras/508243/itens/5010082/show;Pregão;9;2023;160224;Contratação de serviços de manutenção corretiva para viaturas blindadas e equipamentos de linha de produção de oficinas de manutenção Classe IX do Pq R Mnt/5.;UNIDADE
160224 - Pregão | 00009/2023;8;19402 - MANUTENÇÃO EMPILHADEIRA / PALETEIRA;Serviço de recuperação de empilhadeira 2,5 Ton com troca obrigatória das segui ntes peças: cremalheira volante motor, motor de partida, bateria 60 mp, mangue ira superior do radiador.;28/03/2024;27/03/2025; 160224 - PQ R MNT/5;2.0;07.758.095/0001-56 - GTF COMERCIO DE PECAS E SERVICOS LTDA;2474.13; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/508243/itens/5010083/show;Pregão;9;2023;160224;Contratação de serviços de manutenção corretiva para viaturas blindadas e equipamentos de linha de produção de oficinas de manutenção Classe IX do Pq R Mnt/5.;UNIDADE
160224 - Pregão | 00010/2023;1;431362 - ABRAÇADEIRA;ABRAÇADEIRA, MATERIAL NÁILON, COMPRIMENTO TOTAL 200 MM, LARGURA 4 MM, COR PRETA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;15.0;44.207.436/0001-21 - JORDAO LICITACOES E SERVICOS LTDA;8.91; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148596/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Pacote 100,00 UN
160224 - Pregão | 00010/2023;3;288117 - ALICATE DE PRESSÃO;ALICATE DE PRESSÃO, MATERIAL FERRO, TRATAMENTO SUPERFICIAL AÇO VANÁDIO, MORDENTE INFERIOR CURVO, AJUSTE UMA POSIÇÃO, CARACTERÍSTICAS ADICIONAIS ISOLAMENTO NO CABO, TAMANHO 10 POL;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;20.0;53.179.372/0001-93 - 53.179.372 ERIC DANTAS TEIXEIRA;23.0; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148597/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;4;471856 - ALICATE DESCASCAR FIO;ALICATE DESCASCAR FIO, MATERIAL AÇO, COMPRIMENTO 200 MM;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;20.0;42.810.782/0001-74 - MAX QUALITY COMERCIO LTDA;72.52; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148598/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;5;445372 - ALICATE UNIVERSAL;ALICATE UNIVERSAL, MATERIAL AÇO CROMO VANÁDIO, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO 1.OOO VOLTS, TIPO CORTE LATERAL, COMPRIMENTO 8 POL;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;20.0;46.148.186/0001-21 - J. K. COMERCIO E SERVICOS LTDA;160.0; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148599/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;6;445372 - ALICATE UNIVERSAL;ALICATE UNIVERSAL, MATERIAL AÇO CROMO VANÁDIO, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO 1.OOO VOLTS, TIPO CORTE LATERAL, COMPRIMENTO 8 POL;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;20.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;32.0; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148600/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;7;483814 - JOGO CHAVE;JOGO CHAVE, MATERIAL AÇO CROMO VANÁDIO, TIPO ALLEN, QUANTIDADE PEÇAS 9, TRATAMENTO SUPERFICIAL PONTA FOSFATIZADO, CARACTERÍSTICAS ADICIONAIS ABAULADA, TAMANHO 2, 3, 4, 5, 6, 8, 10, 12, 14 MM;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;20.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;22.29; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148601/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Jogo
160224 - Pregão | 00010/2023;8;601852 - JOGO CHAVE;JOGO CHAVE, MATERIAL AÇO VANÁDIO, TIPO CANHÃO, QUANTIDADE PEÇAS 12, APLICAÇÃO CONSERTOS EM GERAL, COMPONENTES 3 A 14;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;08.658.622/0001-13 - J. J. VITALLI;231.66; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148602/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;9;232907 - CONJUNTO CHAVES COMBINADAS;CONJUNTO CHAVES COMBINADAS, MATERIAL AÇO, TAMANHO 6 A 22 MM, APLICAÇÃO PARAFUSOS E PORCAS SEXTAVADAS E QUADRADAS;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;97.68; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148603/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;10;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;4.0; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148604/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;11;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;4.0; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148605/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;12;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;4.0; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148606/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;13;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;5.0; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148607/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;14;601339 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 14 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS ABEÇA RETA, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;6.63; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148608/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;15;601337 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 15 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS ABEÇA RETA, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;7.83; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148609/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;16;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;7.0; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148610/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;17;603273 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 17 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;10.16; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148611/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;18;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;18.215.990/0001-40 - LP SOLUCOES COMERCIAIS LTDA;9.0; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148612/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;19;603274 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 19 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;10.89; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148613/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;20;321497 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 20 MM, COMPRIMENTO 275 MM, TIPO BOCA + ESTRELA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;13.03; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148614/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;21;321497 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 20 MM, COMPRIMENTO 275 MM, TIPO BOCA + ESTRELA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;11.43; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148615/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;22;601338 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 22 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS ABEÇA RETA, PAREDE FINA;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;12.87; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148616/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;23;462845 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 23 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;17.44; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148617/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;24;601336 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO NIQUELADO E CROMADO, BITOLA 24 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS ABEÇA RETA, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;18.08; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148618/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;25;462866 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 25 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;19.84; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148619/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;26;462864 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 26 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;25.58; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148620/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;27;462862 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 27 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;29.74; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148621/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;28;462861 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 28 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;42.440.902/0001-99 - OLIVEIRA FERRAMENTAS LTDA;35.11; 0.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148622/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;29;462861 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 28 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;34.18; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148623/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;30;462860 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, ACABAMENTO CROMADO, BITOLA 30 MM, TIPO BOCA + ESTRELA, CARACTERÍSTICAS ADICIONAIS CABEÇAS INCLINADAS, PAREDE FINA;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;34.21; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148624/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;31;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;4.02; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148625/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;32;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;3.99; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148626/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;33;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;17/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.344.050/0001-97 - SUL AGUA EQUIPAMENTOS LTDA;4.19; -10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148627/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;34;445987 - CHAVE COMBINADA;CHAVE COMBINADA, MATERIAL AÇO CROMO VANÁDIO, BITOLA 10 MM, TIPO BOCA/UNIT DRIVE;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;4.81; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148628/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;35;483652 - CHAVE DE FENDA;CHAVE DE FENDA, MATERIAL AÇO CROMO VANÁDIO, CABO POLIPROPILENO, TAMANHO 1/4 X 5 POL, CARACTERÍSTICAS ADICIONAIS PONTA FOSFATIZADA, TIPO PONTA CHATA;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;7.8; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148629/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
160224 - Pregão | 00010/2023;36;483650 - CHAVE DE FENDA;CHAVE DE FENDA, MATERIAL AÇO CROMO VANÁDIO, CABO POLIPROPILENO, TAMANHO 1/8 X 5 POL, CARACTERÍSTICAS ADICIONAIS PONTA FOSFATIZADA, TIPO PONTA CHATA;18/05/2024;17/05/2025; 160224 - PQ R MNT/5;10.0;46.988.889/0001-68 - 4 NINJAS COMERCIO E DISTRIBUICAO DE PRODUTOS LTDA;6.13; 10.00000;https://contratos.sistema.gov.br/transparencia/compras/523532/itens/5148630/show;Pregão;10;2023;160224;Aquisição de insumos e ferramentas gerais para oficina, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.;Unidade
